,All items,Food and beverages,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy and related products,Fruits and vegetables,Housing,Apparel,Transportation,Medical care,Recreation,Education and communication,Other goods and services
IDX-SEP-2019,301.033,261.02299999999997,260.394,237.007,190.05,269.633,357.699,171.13400000000001,234.106,494.789,156.4,130.136,405.35400000000004
IDX-NOV-2019,301.52,263.074,264.756,240.88099999999997,193.31900000000002,268.47700000000003,357.465,161.566,235.748,496.264,158.42700000000002,130.967,410.68800000000005
IDX-JAN-2020,302.564,262.528,260.54,239.90400000000002,193.408,260.88,361.56800000000004,161.111,231.81900000000002,498.962,159.72799999999998,130.384,411.72
IDX-MAR-2020,302.589,265.155,256.531,240.9,194.576,264.063,363.301,157.971,223.71400000000003,507.904,161.577,129.186,414.68300000000005
Inflation Change JAN->MAR,0.008262714665319491,1.0006551682106108,-1.5387272587702518,0.41516606642657455,0.6039046988749206,1.2201011959521593,0.4793012655987267,-1.9489668613564481,-3.4962621700550818,1.7921204420376715,1.1575929079434972,-0.91882439563135,0.7196638492179066
