,All items,Food and beverages,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy and related products,Fruits and vegetables,Housing,Apparel,Transportation,Medical care,Recreation,Education and communication,Other goods and services
IDX-OCT-2019,298.443,292.658,264.788,254.85299999999998,273.959,347.43699999999995,350.894,112.876,216.519,551.9019999999999,118.162,150.244,506.865
IDX-DEC-2019,297.007,291.161,261.685,257.72700000000003,272.909,339.39,352.601,105.63799999999999,205.815,554.645,120.285,150.738,502.634
IDX-FEB-2020,299.69,294.897,260.71299999999997,259.584,276.983,337.537,355.875,118.319,207.576,545.97,119.462,150.916,506.92
IDX-APR-2020,298.074,299.485,271.507,286.649,286.772,350.32300000000004,356.77,103.16799999999999,194.267,548.136,119.902,151.60299999999998,511.625
Inflation Change FEB->APR,-0.5392238646601439,1.5557974479225027,4.1401848009113404,10.426297460552266,3.5341519154605114,3.7880291642101462,0.2514927994379998,-12.805213025803123,-6.411627548464176,0.3967250947854168,0.36831795884883706,0.4552201224522329,0.928154343880688
