,All items,Food and beverages,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy and related products,Fruits and vegetables,Housing,Apparel,Transportation,Medical care,Recreation,Education and communication,Other goods and services
IDX-SEP-2019,106.412,104.565,104.417,101.027,100.287,101.854,107.04799999999999,106.51,108.79899999999999,104.586,101.354,105.604,105.5
IDX-NOV-2019,106.573,103.959,104.712,100.074,105.255,100.96700000000001,107.678,89.98899999999999,111.54,104.906,101.749,104.536,106.336
IDX-JAN-2020,107.14299999999999,106.46799999999999,104.874,101.213,105.764,104.337,109.88600000000001,93.44200000000001,106.67200000000001,105.76799999999999,99.3,104.74600000000001,107.738
IDX-MAR-2020,107.162,106.7,106.098,103.272,105.285,104.932,109.955,97.44200000000001,103.961,107.539,101.545,105.182,108.45200000000001
Inflation Change JAN->MAR,0.01773330968892551,0.21790584964496312,1.1671148235024924,2.034323654076069,-0.4528951249952717,0.5702674985863105,0.0627923484338338,4.280730292587916,-2.5414354282285867,1.6744194841539979,2.2608257804632474,0.4162450117426986,0.6627188178729869
