,All items,Food and beverages,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy and related products,Fruits and vegetables,Housing,Apparel,Transportation,Medical care,Recreation,Education and communication,Other goods and services
IDX-DEC-2019,275.553,267.623,271.514,281.643,253.042,342.395,319.257,106.45299999999999,213.99099999999999,485.69599999999997,105.912,149.031,447.306
IDX-JAN-2020,277.755,271.402,273.71299999999997,283.279,255.915,346.423,320.216,112.147,214.517,498.27,107.744,149.118,449.83
IDX-FEB-2020,278.657,272.546,276.38599999999997,279.993,254.28799999999998,352.276,321.211,114.583,214.885,499.208,108.757,149.002,446.751
IDX-MAR-2020,276.589,271.66900000000004,271.72,283.76599999999996,250.076,348.884,321.16200000000003,109.624,206.78,500.341,107.77600000000001,148.72899999999998,445.00300000000004
IDX-APR-2020,275.853,276.101,284.534,288.203,260.443,348.901,322.624,103.359,196.44099999999997,499.72,108.31700000000001,149.159,450.417
Inflation Change JAN->MAR,-0.41979442314269655,0.0983780517461168,-0.7281349442664378,0.17191532023200562,-2.281616943125647,0.7104031776181179,0.2954255877282739,-2.2497258063078016,-3.606707160737841,0.4156381078531773,0.029700029700026432,-0.2608672326613699,-1.0730720494408996
